category_id,category_code,count_purchase_category,sales_category,best_selling_product_id,count_purchase_product,sales_product,category_sales_per
2053013555631882655,electronics.smartphone,218908,101262445.87,1004856,18262,2360562.29,0.023311329977457516
2232732093077520756,construction.tools.light,149796,64414035.78,1004767,10362,2460281.78,0.038194808789855334
2053013553559896355,not specified,34623,2173020.38,12703015,1243,53837.53,0.024775437218863083
2053013554658804075,electronics.audio.headphone,27122,5569727.66,4804056,9125,1488106.93,0.267177682795355922
2232732079706079299,sport.bicycle,17077,2317487.90,4804056,6778,1140968.89,0.492330031151403207
2053013554415534427,electronics.video.tv,16725,6478433.66,1801690,1745,670157.04,0.103444300763280487
2232732099754852875,appliances.personal.massager,12109,4779707.75,1801690,1190,462054.79,0.096670092433998710
2053013563810775923,appliances.kitchen.washer,11053,3229772.36,3600661,966,292230.03,0.090480070242473683
2053013558920217191,computers.notebook,11003,6583630.24,1307310,670,192857.96,0.029293558867911148
2053013565983425517,appliances.environment.vacuum,9477,1364463.91,3700926,1021,67865.59,0.049737915017481115
2053013553341792533,electronics.clocks,9041,2959724.79,5100337,694,232275.34,0.078478695311397517
2053013553199186187,not specified,8365,503564.76,12703015,408,17554.34,0.034860143906813495
2053013563651392361,not specified,8009,1677263.22,26400194,162,40560.10,0.024182310514148161
2053013563835941749,appliances.kitchen.refrigerators,7445,3977862.81,1005174,1868,1193952.12,0.300149144660924091
2232732103101907535,electronics.clocks,6955,2198312.86,5100562,751,223085.50,0.101480323414930121
2053013563693335403,not specified,6067,958105.44,26201166,62,4723.66,0.004930208933997912
2232732101063475749,appliances.environment.vacuum,5766,863311.85,3700926,791,54944.47,0.063643826967045570
2232732092297380188,appliances.kitchen.washer,5700,1658668.81,3600661,577,177228.60,0.106849902121207669
2053013553853497655,not specified,5234,418920.42,17300136,146,14630.95,0.034925368402905736
2053013563173241677,not specified,5225,256499.35,5300157,344,13021.13,0.050764768019879972
2053013553375346967,not specified,5156,278343.79,5100816,4047,121162.20,0.435296939802393292
2053013563911439225,appliances.kitchen.refrigerators,4959,2003855.75,2702277,349,162760.20,0.081223511223300380
2232732098446229999,apparel.shoes.sandals,4843,391407.77,17300136,147,12931.91,0.033039482072622115
2053013553056579841,computers.peripherals.printer,4361,923200.73,26400293,220,51564.41,0.055853952801792087
2053013561579406073,electronics.clocks,3911,586201.04,21401211,183,14334.39,0.024453027241302745
2053013556168753601,not specified,3759,410219.56,22700129,455,31070.93,0.075742195228330897
2053013563970159485,not specified,3689,926344.85,2601299,186,79805.86,0.086151350655212257
2053013563584283495,not specified,3687,1317680.56,26300088,186,34558.02,0.026226401943730581
2232732103831716449,apparel.shoes,3629,115433.38,5100816,2880,87353.71,0.756745665768428508
2053013554725912943,appliances.kitchen.coffee_grinder,3487,1087287.98,26300086,307,68690.85,0.063176316912838492
2172371436436455782,electronics.tablet,3407,867461.68,1201504,401,62151.67,0.071647741258149870
2232732101407408685,apparel.shoes.slipons,3176,674124.65,1200947,656,63495.59,0.094189687322663546
2232732089269092627,not specified,3021,187768.14,5300453,248,14624.92,0.077888186994875701
2053013561218695907,not specified,2895,1155438.93,4100346,1187,440908.62,0.381594049284802962
2232732098228126185,apparel.shoes,2817,1055628.21,4100346,1545,534083.93,0.505939425396750244
2053013554776244595,appliances.kitchen.microwave,2764,230353.14,2900958,388,22602.01,0.098118957701206070
2053013553970938175,auto.accessories.player,2679,311542.00,5701128,223,11490.37,0.036882250226293726
2232732081585127530,construction.components.faucet,2676,464622.17,26200211,67,18608.58,0.040050994553273254
2232732091718566220,appliances.kitchen.refrigerators,2675,1101155.84,2702277,187,90799.59,0.082458437490555379
2053013566176363511,appliances.iron,2637,201967.53,3801134,287,4703.81,0.023289931802404080
2232732082063278200,electronics.clocks,2326,300841.04,21401211,129,10925.01,0.036314892409626027
2053013553484398879,not specified,2325,172282.94,15200181,111,6571.23,0.038142081856741010
2053013554834964853,appliances.kitchen.kettle,2265,84888.92,6300680,231,6900.56,0.081289289579841515
2053013552293216471,appliances.environment.air_heater,2226,186281.60,6200514,112,1552.26,0.008332868087884150
2053013555262783879,appliances.kitchen.blender,2201,130707.02,3100640,171,9028.47,0.069074101758268225
2232732091643068746,not specified,2158,226890.01,22700129,384,24293.03,0.107069632550150621
2053013555573162395,electronics.telephone,2152,76045.23,8800713,187,1573.98,0.020697945157112418
2053013557024391671,not specified,2017,925545.35,15100009,166,54013.34,0.058358393783729776
2053013553945772349,electronics.audio.subwoofer,1973,186573.61,5801656,187,24758.79,0.132702529580683999
2053013555321504139,appliances.kitchen.meat_grinder,1956,169809.98,3200173,154,8641.86,0.050891355148855209
2053013557192163841,furniture.bedroom.bed,1942,292692.12,15200181,56,4048.36,0.013831462220438323
2232732102103663163,furniture.bedroom.blanket,1929,165856.70,2900958,425,24779.27,0.149401682295620255
2053013552326770905,appliances.environment.water_heater,1914,201539.97,3900002,261,27585.53,0.136873742712177639
2053013564003713919,appliances.kitchen.oven,1871,254219.06,2500566,244,12265.65,0.048248349277980966
2232732101835227701,not specified,1830,453586.94,2601500,99,11796.20,0.026006480698055372
2053013565639492569,apparel.shoes,1813,163270.76,28716666,28,2657.08,0.016274071364646064
2053013552259662037,computers.components.power_supply,1812,665542.36,11500273,96,9188.80,0.013806484083146864
2053013560807654091,auto.accessories.alarm,1663,234684.24,6000094,534,65242.90,0.278002902964425732
2053013560530830019,electronics.camera.video,1568,163536.50,8801100,133,13304.51,0.081354988030195094
2053013566100866035,appliances.sewing_machine,1546,316590.61,5000475,217,37439.73,0.118259129669070097
2053013565228450757,apparel.shoes,1537,126664.23,28716978,37,3057.31,0.024137122216745801
2053013560346280633,kids.carriage,1527,266714.57,7004492,117,11763.75,0.044106139383386517
2053013563743667055,appliances.kitchen.hood,1527,151323.93,12300396,146,7506.98,0.049608677226397702
2053013558752445019,auto.accessories.compressor,1503,416616.87,100023264,71,28912.62,0.069398581963327601
2232732091307524418,appliances.kitchen.refrigerators,1497,365798.33,2800628,90,20323.72,0.055559903731654543
2232732091391410500,appliances.kitchen.blender,1476,92544.20,3100034,160,9081.92,0.098136025812530661
2053013560899928785,auto.accessories.videoregister,1460,172928.96,4700478,257,36369.31,0.210313587729897873
2053013555355058573,not specified,1420,127834.88,3300349,251,17168.30,0.134300591513051837
2053013557477376525,furniture.bathroom.bath,1366,100816.73,3801134,177,2748.84,0.027265712744303450
2053013563550729061,not specified,1364,217561.91,26500318,82,2089.36,0.009603519292508509
2053013556311359947,construction.tools.drill,1332,113793.49,12300396,167,8591.24,0.075498519291393559
2053013561277416167,not specified,1312,60481.79,10701101,381,25957.78,0.429183395531117713
2053013552385491165,not specified,1290,95001.79,4300077,163,6457.95,0.067977140220200061
2232732082390433922,electronics.audio.subwoofer,1273,122959.25,5801656,164,21525.06,0.175058484823223954
2232732092565815652,appliances.kitchen.oven,1246,135412.89,2500566,270,13889.72,0.102573100684875716
2053013565069067197,apparel.shoes.keds,1243,100771.97,28717035,33,1553.88,0.015419764047482648
2053013566142809077,construction.tools.generator,1232,100839.05,4000169,161,15389.30,0.152612504778654698
2053013561092866779,computers.desktop,1231,812316.64,1480163,77,47848.78,0.058904099268482300
2053013557133443581,furniture.living_room.cabinet,1189,306251.65,14701435,143,28971.59,0.094600600519213529
2053013557166998015,not specified,1189,147353.69,13300108,79,9004.93,0.061110990841152332
2053013553526341921,appliances.ironing_board,1167,294251.68,13102348,47,9673.04,0.032873355217547101
2053013553526341921,not specified,1167,294251.68,13102348,47,9673.04,0.032873355217547101
2053013558458843721,not specified,1162,26169.19,11400268,270,5652.60,0.216002100179638728
2053013553140465927,kids.toys,1160,153869.64,26500139,65,11330.95,0.073639933127808709
2232732086928670945,electronics.camera.photo,1078,43599.56,6300680,163,4809.85,0.110318773859185735
2053013557452210699,electronics.clocks,1045,166810.61,3900003,118,14052.56,0.084242603033464118
2053013558190408249,not specified,1041,32816.87,15901906,78,946.15,0.028831207851327686
2053013558190408249,apparel.tshirt,1041,32816.87,15901906,78,946.15,0.028831207851327686
2053013555220840837,appliances.kitchen.juicer,1031,78950.79,6800659,87,5328.19,0.067487481759207223
2053013552955916539,computers.peripherals.printer,1029,218611.64,1500258,198,52000.93,0.237868989958631663
2232732102019777081,apparel.shoes.keds,1012,90726.32,3200173,174,10340.20,0.113971337093800344
2053013559792632471,furniture.living_room.sofa,989,534924.37,17200570,128,57502.06,0.107495682053147065
2053013564918072245,not specified,964,140833.11,28100905,22,4960.78,0.035224529231797835
2053013564918072245,apparel.pajamas,964,140833.11,28100905,22,4960.78,0.035224529231797835
2053013564918072245,not specified,964,140833.11,28101000,22,1908.50,0.013551500779894728
2053013553031414015,computers.peripherals.monitor,951,214005.94,1701392,105,14225.66,0.066473201631693027
2053013554524586339,not specified,951,205981.17,9300067,156,20031.33,0.097248355274416589
2053013559473865347,not specified,950,48762.74,20100310,47,847.31,0.017376176974468621
2053013555069845885,appliances.kitchen.mixer,949,60903.36,10900305,125,3209.28,0.052694629655900758
2053013559868129947,computers.desktop,932,96051.03,17800342,64,4281.08,0.044570891119022878
2232732097397653970,accessories.wallet,913,104177.86,4700478,153,21851.07,0.209747733347565404
2053013565782098913,apparel.shoes,910,80491.30,28712565,16,1437.44,0.017858327545958383
2053013556462354899,not specified,878,52926.96,16500007,456,28593.85,0.540251130992598101
2053013562837697343,not specified,873,8397.63,26016675,107,867.03,0.103246987542913894
2232732102414041665,computers.components.cooler,861,70886.94,3300349,292,19810.94,0.279472354145911786
2232732102950912587,appliances.sewing_machine,861,209446.24,5000475,126,21727.44,0.103737550982056302
2053013554566529381,computers.desktop,860,51528.71,12710969,63,2270.52,0.044063202824211978
2232732105123562109,apparel.scarf,857,39002.63,10701101,194,12495.41,0.320373523529054323
2232732073574007777,furniture.kitchen.chair,830,19928.20,11400317,182,2629.58,0.131952710229724712
2053013562946749253,appliances.personal.scales,819,17152.75,11200239,135,1039.50,0.060602527291542173
2053013554625249641,not specified,791,68224.71,11500273,112,10515.94,0.154136822274510218
2053013558249128509,not specified,789,81158.66,16400025,145,15020.41,0.185074642681384833
2053013554222596431,computers.components.hdd,788,51518.82,6800658,107,4205.05,0.081621628756248687
2053013553098522884,kids.toys,777,48942.10,10501366,67,6618.88,0.135238986475856165
2053013560555995845,not specified,758,554956.22,2201036,145,51422.88,0.092661147216261492
2053013560555995845,auto.accessories.compressor,758,554956.22,2201036,145,51422.88,0.092661147216261492
2053013554247762257,computers.components.videocards,758,214702.38,6700582,72,12610.08,0.058732837521409870
2232732105425552001,not specified,758,42682.35,10600079,186,978.90,0.022934538515334793
2232732079009824823,kids.skates,750,125237.07,7004492,63,6205.26,0.049548109038322279
2053013563877884791,appliances.kitchen.hob,748,160567.52,4500301,28,3337.45,0.020785336909980300
2053013563877884791,appliances.kitchen.hob,748,160567.52,4501747,28,3657.48,0.022778454820750797
2232732108713886406,apparel.costume,725,44107.10,16500007,423,26543.03,0.601785880277778408
2232732104494416497,apparel.shoes,717,169595.25,9300012,120,19170.69,0.113037894634431094
2232732091961835858,appliances.environment.air_heater,707,36065.99,6200724,67,1362.78,0.037785736645521168
2053013556202308035,construction.tools.saw,704,84516.20,19200005,220,20189.39,0.238881894831996706
2053013563097744201,appliances.personal.hair_cutter,700,27174.36,8700289,78,1773.10,0.065249006784336411
2152167773222993940,not specified,694,206175.54,100019259,45,11281.95,0.054720118594087349
2053013552888807671,computers.peripherals.mouse,686,21455.97,9100636,34,1101.22,0.051324642978154798
2232732103546503769,apparel.shoes,686,97148.90,6000094,218,27777.56,0.285927684204350229
2232732091483685190,not specified,683,52310.37,4300077,121,4923.85,0.094127607967598012
2053013554751078769,appliances.kitchen.grill,668,109052.31,12600018,91,35060.27,0.321499562916182151
