hour,total_views,view_per,total_cart,cart_per,total_purchase,purchase_per,total_interactions
16,3470866,0.9569942547798483,113828,0.03138488839185396,42147,0.011620856828297685,3626841
15,3390133,0.95341096812695,120494,0.03388666497553008,45167,0.012702366897519935,3555794
17,3287257,0.9589115061259649,102548,0.029913833062095677,38308,0.011174660811939397,3428113
14,3172301,0.9496394586251531,120055,0.03593888638097165,48176,0.014421654993875228,3340532
13,2848708,0.9441646203250527,119367,0.039562530885699956,49098,0.016272848789247417,3017173
8,2776368,0.9311243748191071,143915,0.04826549088668786,61454,0.020610134294205024,2981737
9,2747584,0.9301081092791993,143161,0.048462651927118315,63303,0.021429238793682432,2954048
7,2695396,0.9315631510479669,140023,0.04839373030871511,57993,0.02004311864331799,2893412
10,2685072,0.9309315826972716,138859,0.04814330067937114,60354,0.020925116623357262,2884285
6,2650691,0.932384237738914,136317,0.04794969392352995,55909,0.01966606833755611,2842917
11,2600839,0.9331157483165384,130809,0.04693098570174397,55615,0.01995326598171755,2787263
12,2589451,0.9376429393915254,121364,0.043946032458738585,50845,0.01841102814973603,2761660
18,2582678,0.9578653591886614,86164,0.031956562455378416,27443,0.010178078355960145,2696285
5,2499660,0.933629346542375,126269,0.047161791587079505,51429,0.019208861870545515,2677358
4,2206725,0.9366078939527571,106433,0.04517372485337947,42924,0.018218381193863372,2356082
19,1789060,0.9578665296037221,58543,0.03134404672989766,20152,0.010789423666380226,1867755
3,1717073,0.9434596629074575,75290,0.041368700119507135,27612,0.015171636973035344,1819975
2,1176777,0.9564571057016297,41151,0.03344658024139473,12422,0.010096314056975657,1230350
20,1061639,0.9560973281411542,36343,0.03273000068444544,12406,0.0111726711744003,1110388
21,620531,0.9556437143961573,21213,0.032668907940917834,7589,0.011687377662924879,649333
1,609895,0.9607535494928395,19772,0.03114637631161499,5142,0.008100074195545431,634809
22,380090,0.9551151897716308,12965,0.03257930604696044,4897,0.012305504181408813,397952
0,357963,0.9614726556309712,10883,0.02923125270274263,3461,0.009296091666286156,372307
23,284209,0.9582942767164119,8979,0.03027534071981064,3390,0.01143038256377749,296578
